timestamp_ms,latitude,longitude,altitude_m,accuracy_m,speed_ms,heading_deg
1776581779268,53.8513813,10.7011919,20.06862516216205,13.76099967956543,0.0,0.0
1776581784728,53.8513577,10.701252,20.06862516216205,22.881000518798828,0.5373830199241638,123.63648223876953
1776581785767,53.8513537,10.7012623,20.06862516216205,22.881000518798828,0.6815643906593323,123.63648223876953
1776581786326,53.8513502,10.7012749,20.06862516216205,21.841999053955078,0.11202720552682877,90.00183868408203
1776581787261,53.8513599,10.7012463,20.06862516216205,18.538000106811523,0.20198585093021393,89.9962158203125
1776581788760,53.8513618,10.701242,20.06862516216205,17.57900047302246,0.1356087177991867,89.9989013671875
1776581789740,53.8513625,10.7012397,20.06862516216205,16.00200080871582,0.22956988215446472,89.99961853027344
1776581790754,53.8513628,10.7012391,20.06862516216205,15.48900032043457,0.3479996621608734,89.99933624267578
1776581791765,53.8513627,10.7012408,20.06862516216205,11.939000129699707,0.5684701204299927,90.00653839111328
1776581792787,53.8513626,10.7012437,20.06862516216205,12.083999633789062,0.6637837886810303,90.03826904296875
1776581793414,53.8513624,10.7012451,20.06862516216205,12.258999824523926,0.7133102416992188,90.07429504394531
1776581794756,53.8513781,10.701246,20.06862516216205,12.494999885559082,0.9527221322059631,64.64112091064453
1776581795760,53.8513821,10.7012519,20.06862516216205,12.98900032043457,1.0546566247940063,74.34239959716797
1776581796753,53.8513846,10.7012602,20.06862516216205,13.821999549865723,1.309108853340149,78.33776092529297
1776581797376,53.8513861,10.7012673,20.06862516216205,14.649999618530273,1.4897109270095825,80.36846160888672
1776581798455,53.8513875,10.7012807,20.06862516216205,17.415000915527344,1.855547547340393,83.06947326660156
1776581799494,53.8513883,10.701296,20.06862516216205,20.49799919128418,1.9976080656051636,84.40301513671875
1776581800455,53.8513884,10.7013048,20.06862516216205,23.57699966430664,2.0092532634735107,85.34390258789062
1776581801637,53.8513759,10.7012504,20.06862516216205,21.871000289916992,0.6840173006057739,95.0416488647461
1776581802766,53.8513734,10.7012408,20.06862516216205,20.211000442504883,0.21251632273197174,104.15599822998047
1776581803760,53.8513723,10.7012358,20.06862516216205,18.131999969482422,0.10976321250200272,106.59195709228516
1776581804761,53.8513712,10.7012318,20.06862516216205,14.505000114440918,0.09760329127311707,0.0
1776581805775,53.8513708,10.7012279,20.06862516216205,11.414999961853027,0.12431448698043823,119.1044692993164
1776581806688,53.8513707,10.701225,20.06862516216205,10.753999710083008,0.1094229519367218,150.79925537109375
1776581807177,53.8513705,10.7012231,20.06862516216205,10.708999633789062,0.13758330047130585,162.02191162109375
1776581807621,53.8513712,10.7012205,20.06862516216205,10.267000198364258,0.05900196731090546,0.0
1776581808083,53.8513715,10.7012197,20.06862516216205,9.932000160217285,0.09610947221517563,0.0
1776581808548,53.8513712,10.70122,20.06862516216205,9.833999633789062,0.08533778786659241,0.0
1776581809767,53.8513703,10.7012201,20.06862516216205,9.494999885559082,0.11077332496643066,190.89332580566406
1776581810297,53.8513698,10.7012206,20.06862516216205,9.465999603271484,0.13447386026382446,185.22657775878906
1776581810821,53.8513696,10.7012209,20.06862516216205,9.335000038146973,0.17127449810504913,161.93954467773438
1776581811796,53.851369,10.7012216,20.06862516216205,9.342000007629395,0.20977641642093658,110.13101959228516
1776581812765,53.8513693,10.7012235,20.06862516216205,9.109000205993652,0.18288585543632507,75.29789733886719
1776581813344,53.8513706,10.7012238,20.06862516216205,9.237000465393066,0.12357692420482635,68.09351348876953
1776581814592,53.851376,10.7012256,20.06862516216205,9.218000411987305,0.11336244642734528,47.675567626953125
1776581815785,53.8513802,10.7012262,20.06862516216205,8.973999977111816,0.10089830309152603,50.36711883544922
1776581816794,53.8513815,10.7012257,20.06862516216205,8.727999687194824,0.11360683292150497,62.9349365234375
1776581817788,53.8513826,10.7012243,20.06862516216205,8.470000267028809,0.09792250394821167,0.0
1776581818789,53.8513829,10.7012231,20.06862516216205,7.955999851226807,0.09570523351430893,0.0
1776581819795,53.8513833,10.7012225,20.06862516216205,7.734000205993652,0.08504319936037064,0.0
1776581820787,53.8513829,10.7012224,20.06862516216205,7.599999904632568,0.11036749184131622,103.36122131347656
1776581821638,53.8513821,10.7012217,20.06862516216205,7.61299991607666,0.07626757770776749,0.0
1776581822794,53.8513828,10.7012224,20.06862516216205,7.316999912261963,0.11314019560813904,98.50505065917969
1776581823789,53.8513825,10.7012227,20.06862516216205,7.247000217437744,0.13005800545215607,74.19196319580078
1776581824806,53.8513824,10.7012224,20.06862516216205,7.218999862670898,0.12370677292346954,81.82308197021484
1776581825794,53.8513823,10.7012221,20.06862516216205,7.190999984741211,0.1012568473815918,111.17426300048828
1776581826784,53.8513815,10.7012217,20.06862516216205,7.140999794006348,0.10217996686697006,132.8924560546875
1776581827797,53.8513805,10.7012215,20.06862516216205,7.238999843597412,0.1147800162434578,134.54969787597656
1776581828701,53.8513802,10.7012219,20.06862516216205,7.281000137329102,0.08926016837358475,0.0
1776581829333,53.8513791,10.701222,20.06862516216205,7.169000148773193,0.05994933471083641,0.0
1776581830785,53.8513781,10.7012235,20.06862516216205,7.007999897003174,0.11509300768375397,121.88288116455078
1776581831783,53.8513773,10.7012246,20.06862516216205,6.922999858856201,0.09496748447418213,0.0
1776581832790,53.8513771,10.701226,20.06862516216205,6.754000186920166,0.0857076495885849,0.0
1776581833766,53.8513769,10.7012268,20.06862516216205,6.747000217437744,0.0864650085568428,0.0
1776581834796,53.8513764,10.7012285,20.06862516216205,6.749000072479248,0.22334548830986023,101.34193420410156
